fare_amount,pickup_timestamp,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day_of_week,pickup_month,pickup_year,is_weekend,time_period,trip_distance_km,pickup_distance_from_center,dropoff_distance_from_center
26.0,2013-05-10 14:42:07+00:00,-73.981828,40.750499,-73.961214,40.748411,14,4,5,2013,False,regular,1.7519362602445445,0.8895754264382283,2.306888490272057
21.5,2013-11-10 06:57:18+00:00,-73.960184,40.776519,-73.957553,40.765177,6,6,11,2013,True,morning_rush,1.2804863885405884,2.9640860194723957,2.4853810727805308
24.3,2011-11-27 10:23:52+00:00,-73.988015,40.79828,-73.9745,40.787364,10,6,11,2011,True,regular,1.6636586373136755,4.483935111224322,3.393977342923464
23.6,2013-05-21 23:02:21+00:00,-73.99493,40.699435,-73.994619,40.683525,23,1,5,2013,False,late_night,1.7693055884304865,6.560431217859542,8.316823984509883
21.0,2013-02-08 23:43:29+00:00,-74.025075,40.740455,-74.01756,40.74813,23,4,2,2013,False,late_night,1.0626104274983874,3.8626215934586305,2.915018610213349
21.7,2013-03-16 01:59:20+00:00,-73.99873,40.742019,-73.998197,40.754073,1,5,3,2013,True,late_night,1.341095479364161,2.097563527256129,1.1551750476398723
27.6,2012-04-04 21:43:24+00:00,-73.998921,40.70798,-73.988865,40.686362,21,2,4,2012,False,regular,2.5489243084654856,5.675765110166767,7.970828151393336
29.4,2012-04-19 09:27:59+00:00,-73.976829,40.735447,-73.997212,40.75383,9,3,4,2012,False,morning_rush,2.6696311470375846,2.6119965118231296,1.090038961871815
20.1,2013-09-02 14:46:50+00:00,-73.992209,40.762833,-73.983328,40.762713,14,0,9,2013,False,regular,0.7480874841079979,0.7798058044525288,0.5550728813049907
19.3,2013-04-11 02:36:50+00:00,-73.93684,40.74164,-73.930152,40.744538,2,3,4,2013,False,late_night,0.649078617339536,4.484542438103832,4.896692493849907
