fare_amount,pickup_timestamp,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
26.0,2013-05-10 14:42:07 UTC,-73.981828,40.750499,-73.961214,40.748411
21.5,2013-11-10 06:57:18 UTC,-73.960184,40.776519,-73.957553,40.765177
24.3,2011-11-27 10:23:52 UTC,-73.988015,40.79828,-73.9745,40.787364
23.6,2013-05-21 23:02:21 UTC,-73.99493,40.699435,-73.994619,40.683525
21.0,2013-02-08 23:43:29 UTC,-74.025075,40.740455,-74.01756,40.74813
21.7,2013-03-16 01:59:20 UTC,-73.99873,40.742019,-73.998197,40.754073
27.6,2012-04-04 21:43:24 UTC,-73.998921,40.70798,-73.988865,40.686362
29.4,2012-04-19 09:27:59 UTC,-73.976829,40.735447,-73.997212,40.75383
20.1,2013-09-02 14:46:50 UTC,-73.992209,40.762833,-73.983328,40.762713
19.3,2013-04-11 02:36:50 UTC,-73.93684,40.74164,-73.930152,40.744538
23.0,2012-10-08 20:08:38 UTC,-74.001153,40.703661,-74.002694,40.688937
22.5,2012-01-23 13:49:57 UTC,-73.951987,40.836222,-73.956079,40.849431
17.4,2013-02-15 20:01:19 UTC,-73.975605,40.757985,-73.978596,40.759988
21.5,2011-04-02 14:59:06 UTC,-73.963865,40.753351,-73.961037,40.764739
24.2,2012-05-23 07:46:34 UTC,-73.96508,40.717062,-73.952939,40.729271
22.8,2011-07-25 16:35:49 UTC,-74.024365,40.757821,-74.029707,40.77117
24.7,2013-10-22 05:53:41 UTC,-73.980231,40.745074,-73.997249,40.738591
28.1,2012-12-03 17:25:43 UTC,-73.985245,40.693344,-73.960399,40.691265
20.2,2011-06-11 09:35:13 UTC,-74.00266,40.717892,-73.995944,40.711775
20.5,2013-03-26 14:07:13 UTC,-73.970807,40.773848,-73.97472,40.782799
21.8,2013-10-13 07:20:15 UTC,-73.945669,40.808321,-73.933781,40.811649
22.7,2011-12-04 14:52:23 UTC,-74.03346,40.761015,-74.024123,40.771706
21.7,2011-08-05 12:40:28 UTC,-73.990689,40.783092,-73.985767,40.79422
24.6,2011-01-15 12:00:24 UTC,-74.004915,40.745327,-74.009686,40.728055
23.2,2012-06-04 23:00:43 UTC,-73.978564,40.747404,-73.971891,40.760911
22.9,2012-10-09 23:10:50 UTC,-73.986512,40.782729,-73.975617,40.792238
24.4,2012-08-15 07:34:34 UTC,-73.992114,40.799883,-74.009314,40.796191
17.7,2011-10-16 04:41:38 UTC,-73.96621,40.789033,-73.963965,40.792531
17.2,2013-10-14 08:27:06 UTC,-73.947276,40.718009,-73.944295,40.716772
19.0,2011-07-20 07:11:33 UTC,-73.926774,40.747991,-73.924113,40.754152
17.5,2013-11-22 15:54:22 UTC,-73.994793,40.758326,-73.994331,40.754612
22.0,2013-03-15 02:43:39 UTC,-74.016418,40.74221,-74.004557,40.746999
16.7,2012-12-26 02:00:34 UTC,-73.968816,40.761636,-73.970929,40.762309
17.8,2012-09-04 14:13:02 UTC,-73.94779,40.774617,-73.947818,40.770295
17.5,2013-10-25 22:13:38 UTC,-73.963726,40.780084,-73.96057,40.781986
29.2,2013-03-05 08:14:14 UTC,-73.947873,40.800576,-73.949654,40.827641
23.4,2013-06-10 12:50:31 UTC,-73.98451,40.740117,-73.99837,40.733261
17.3,2013-01-12 16:51:31 UTC,-73.992191,40.709079,-73.99005,40.70658
19.2,2012-04-29 22:38:44 UTC,-73.977691,40.760747,-73.975437,40.754066
19.0,2012-06-24 03:12:31 UTC,-73.986611,40.806514,-73.990263,40.800882
19.8,2012-07-31 09:44:56 UTC,-73.966738,40.735691,-73.968061,40.743848
31.9,2013-10-09 05:27:27 UTC,-73.960605,40.770605,-73.992403,40.777764
21.7,2011-07-09 00:00:56 UTC,-73.959038,40.770872,-73.946954,40.770814
22.5,2012-09-24 19:12:40 UTC,-73.969788,40.755743,-73.960778,40.766006
23.4,2012-12-10 07:26:08 UTC,-73.975084,40.750208,-73.988462,40.758142
19.1,2011-11-14 04:32:50 UTC,-73.964111,40.722297,-73.970866,40.720674
26.2,2012-11-14 23:14:58 UTC,-74.01926,40.68155,-74.004775,40.666211
22.7,2012-03-17 19:11:38 UTC,-73.975789,40.716644,-73.987337,40.724942
18.2,2013-08-09 16:58:48 UTC,-73.97895,40.738291,-73.974166,40.739988
18.1,2011-01-02 01:27:53 UTC,-73.975738,40.782923,-73.980659,40.783145
18.7,2013-05-04 04:31:32 UTC,-73.981752,40.746906,-73.977651,40.742246
19.4,2012-01-20 18:01:52 UTC,-73.971363,40.734429,-73.970862,40.741876
17.9,2012-12-30 05:31:54 UTC,-73.991492,40.72327,-73.994324,40.726755
17.9,2013-04-15 22:10:55 UTC,-73.95741,40.769704,-73.953524,40.767336
22.2,2011-05-03 16:37:23 UTC,-73.970527,40.790751,-73.975457,40.778496
26.0,2013-06-02 01:05:21 UTC,-73.976986,40.781903,-73.994829,40.792582
21.2,2013-01-21 15:32:08 UTC,-73.99395,40.768184,-74.003228,40.774234
21.0,2011-07-06 05:15:28 UTC,-73.963694,40.705732,-73.974172,40.708286
31.1,2012-10-21 03:18:25 UTC,-73.975867,40.73945,-73.991908,40.712882
17.5,2011-05-27 19:31:06 UTC,-73.99511,40.808419,-73.991416,40.80804
17.1,2012-05-03 00:39:38 UTC,-73.981133,40.783659,-73.982861,40.781246
19.2,2011-12-04 07:00:10 UTC,-73.967418,40.703875,-73.963879,40.69769
20.2,2012-04-17 17:22:30 UTC,-73.968969,40.748332,-73.963761,40.755875
20.8,2011-09-20 15:25:47 UTC,-73.97026,40.760893,-73.962695,40.768042
18.6,2013-10-13 19:59:48 UTC,-73.978149,40.727135,-73.97408,40.731503
22.8,2011-01-02 00:47:11 UTC,-73.959484,40.680724,-73.96928,40.691103
21.5,2012-03-28 04:31:58 UTC,-73.955244,40.752965,-73.949449,40.742742
18.2,2013-10-11 08:40:34 UTC,-73.965254,40.726367,-73.963036,40.721831
26.6,2013-03-26 15:02:19 UTC,-73.991749,40.726485,-73.969848,40.727233
18.7,2011-06-01 21:55:32 UTC,-74.001161,40.73936,-74.001082,40.73314
19.7,2012-09-19 10:48:07 UTC,-73.990879,40.74599,-73.98705,40.753261
18.3,2011-04-14 19:34:47 UTC,-73.940927,40.749728,-73.941875,40.744506
22.1,2012-05-24 02:24:28 UTC,-73.974366,40.72348,-73.973877,40.736464
20.3,2013-07-02 13:17:01 UTC,-73.937471,40.743394,-73.937657,40.734082
26.5,2013-04-01 02:15:40 UTC,-73.982404,40.697277,-73.98675,40.718597
25.8,2011-06-10 03:32:13 UTC,-73.985176,40.759331,-73.983403,40.779624
18.8,2013-03-26 19:55:07 UTC,-73.981481,40.664312,-73.975264,40.663364
21.7,2012-02-05 00:47:11 UTC,-73.981843,40.741315,-73.986039,40.752777
20.3,2013-08-12 18:21:54 UTC,-73.995473,40.777576,-73.987117,40.773571
21.8,2013-11-11 13:29:37 UTC,-74.002977,40.71822,-73.995834,40.728353
20.1,2011-08-18 12:50:53 UTC,-73.969973,40.771493,-73.978776,40.769733
23.7,2011-01-27 01:20:29 UTC,-73.958902,40.784672,-73.968539,40.771818
33.4,2011-10-11 14:32:04 UTC,-73.9311,40.650763,-73.926619,40.615435
18.9,2013-10-16 15:18:03 UTC,-73.988674,40.745459,-73.99455,40.742772
21.0,2012-06-30 16:16:43 UTC,-73.987053,40.663727,-73.99751,40.666517
